cod_est,FECHA,T_Med,Lluvia_acum
AL008,2020-12-25T00:00:00,5.004625,0
AL008,2020-12-26T00:00:00,0.920458333333333,0
AL008,2020-12-27T00:00:00,2.97529166666667,0
AL008,2020-12-28T00:00:00,4.12945833333333,0
AL008,2020-12-29T00:00:00,1.80529166666667,1.3
AL008,2020-12-30T00:00:00,1.53883333333333,0.1
AL008,2020-12-31T00:00:00,1.325625,0
AL008,2021-01-01T00:00:00,1.67579166666667,0.7
AL008,2021-01-02T00:00:00,0.226291666666667,0.1
AL008,2021-01-03T00:00:00,-0.145708333333333,0
AL008,2021-01-04T00:00:00,0.451083333333333,0
AL008,2021-01-05T00:00:00,1.03,0
AL008,2021-01-06T00:00:00,1.01883333333333,1
AL008,2021-01-07T00:00:00,-0.284541666666667,4.5
AL008,2021-01-08T00:00:00,-0.684125,0.3
AL008,2021-01-13T00:00:00,6.28585714285714,0
AL008,2021-01-14T00:00:00,4.74091666666667,0
AL008,2021-01-15T00:00:00,4.86225,0
AL008,2021-01-16T00:00:00,5.58308333333333,0
AL008,2021-01-17T00:00:00,7.39666666666667,0
AL008,2021-01-18T00:00:00,4.76370833333333,0
AL008,2021-01-19T00:00:00,4.42720833333333,0
AL008,2021-01-20T00:00:00,5.998625,0
AL008,2021-01-21T00:00:00,7.585375,0
AL008,2021-01-22T00:00:00,7.892,1.4
AL008,2021-01-23T00:00:00,5.95508333333333,0
AL008,2021-01-24T00:00:00,9.42095833333333,0
AL008,2021-01-25T00:00:00,8.3485,1
AL008,2021-01-26T00:00:00,8.986,0.1
AL008,2021-01-27T00:00:00,11.4063157894737,0
AL008,2021-01-28T00:00:00,12.249125,0.2
AL008,2021-01-29T00:00:00,14.1004166666667,0
AL008,2021-01-30T00:00:00,9.78941666666667,0
AL008,2021-01-31T00:00:00,7.41158333333333,0
AL008,2021-02-01T00:00:00,9.99170833333333,0
AL008,2021-02-02T00:00:00,10.4496666666667,0
AL008,2021-02-03T00:00:00,12.1727083333333,0
AL008,2021-02-04T00:00:00,11.0153333333333,0
AL008,2021-02-05T00:00:00,9.385125,1.3
AL008,2021-02-06T00:00:00,6.7385,0.1
AL008,2021-02-07T00:00:00,5.85279166666667,0
AL008,2021-02-08T00:00:00,6.247,2.3
AL008,2021-02-09T00:00:00,7.69108333333333,0.2
AL008,2021-02-10T00:00:00,9.19766666666667,0.3
AL008,2021-02-11T00:00:00,11.8816666666667,0
AL008,2021-02-12T00:00:00,9.7455,0
AL008,2021-02-13T00:00:00,9.6945,0
AL008,2021-02-14T00:00:00,7.33229166666667,0
AL008,2021-02-15T00:00:00,6.00758333333333,0
AL008,2021-02-16T00:00:00,7.261,0.1
AL008,2021-02-17T00:00:00,9.40645833333333,0
AL008,2021-02-18T00:00:00,8.89295833333333,0
AL008,2021-02-19T00:00:00,8.47775,0
AL008,2021-02-20T00:00:00,8.155375,0
AL008,2021-02-21T00:00:00,6.74829166666667,1.6
AL008,2021-02-22T00:00:00,4.87270833333333,0.1
AL008,2021-02-23T00:00:00,6.20779166666667,0
AL008,2021-02-24T00:00:00,7.42416666666667,0
AL008,2021-02-25T00:00:00,6.31866666666667,0.1
AL008,2021-02-26T00:00:00,6.90308333333333,0
AL008,2021-02-27T00:00:00,5.91579166666667,0
AL008,2021-02-28T00:00:00,5.26029166666667,0
AL008,2021-03-01T00:00:00,5.28416666666667,0.4
AL008,2021-03-02T00:00:00,6.188375,0.1
AL008,2021-03-03T00:00:00,7.365375,0.1
AL008,2021-03-04T00:00:00,6.2965,0
AL008,2021-03-05T00:00:00,5.82616666666667,0
AL008,2021-03-06T00:00:00,6.05633333333333,0.1
AL008,2021-03-07T00:00:00,6.37816666666667,6.9
AL008,2021-03-08T00:00:00,6.66579166666667,0.6
AL008,2021-03-09T00:00:00,4.90941666666667,2.8
AL008,2021-03-10T00:00:00,7.14829166666667,0.1
AL008,2021-03-11T00:00:00,9.42329166666667,0
AL008,2021-03-12T00:00:00,11.1800416666667,0
AL008,2021-03-13T00:00:00,9.34775,0
AL008,2021-03-14T00:00:00,9.32420833333333,0
AL008,2021-03-15T00:00:00,7.99629166666667,0
AL008,2021-03-16T00:00:00,7.896125,0
AL008,2021-03-17T00:00:00,7.76370833333334,0.1
AL008,2021-03-18T00:00:00,4.944125,1.8
AL008,2021-03-19T00:00:00,3.534,0.8
AL008,2021-03-20T00:00:00,2.29483333333333,0.8
AL008,2021-03-21T00:00:00,3.88483333333333,0
AL008,2021-03-22T00:00:00,7.04641666666667,0
AL008,2021-03-23T00:00:00,9.96752173913043,0
AL008,2021-03-24T00:00:00,10.304875,0
AL008,2021-03-25T00:00:00,11.4935833333333,0
